Table S4. Coefficients for analytical approximation to the scattering factors
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=4.
  DATE = 2022-07-29     TIME = 20:53:12
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4             c      Max.Err.  STL Mean.Err.
 
Li(1+)      DHF     7.885128E-01      1.955542  6.969682E-01      4.622354  3.412623E-01  6.315405E-01  1.564905E-01     10.081777  1.672995E-02     0.0001  2.00  0.0000
Be(2+)      DHF     5.114208E-01  4.573755E-01  8.697941E-01      1.361117  7.415227E-02      6.071817  5.141668E-01      3.009585  3.046124E-02     0.0000  2.00  0.0000
B(1+)       DHF     3.635061E-01     49.526645      1.517675  8.941105E-01      1.809797     21.722127 -6.691245E-02 -2.536246E-01  3.763637E-01     0.0021  0.72  0.0008
B(2+)       DHF         1.135296      1.168685  9.812135E-01     18.383995  7.235018E-01  3.166307E-01  1.434234E-01     39.092368  1.671569E-02     0.0006  0.73  0.0002
B(3+)       DHF     8.854984E-01      1.012327  3.653215E-02      4.181347  6.572575E-01  3.470176E-01  3.756489E-01      2.163882  4.506248E-02     0.0000  2.00  0.0000
C(1+)       DHF         2.164909     13.010076      1.573609  5.798230E-01      1.022076     29.393197 -1.193705E-04     -1.252363  2.390263E-01     0.0008  0.92  0.0004
C(2+)       DHF         1.926080     13.041457      1.561038  5.554677E-01  2.728742E-01     30.036962     32.009425  2.023721E-04    -31.768940     0.0023  2.00  0.0009
C(3+)       DHF         1.460378  6.734331E-01  9.570547E-01     10.964523 -1.608607E-01 -1.432183E-01  1.851727E-01     21.670438  5.583262E-01     0.0004  2.00  0.0001
C(4+)       DHF     8.679146E-01  7.808730E-01  7.716653E-01  2.707682E-01  2.820331E-01      1.638797  1.958591E-02      3.090455  5.880111E-02     0.0000  2.00  0.0000
C(val)      DHF         2.498452     15.639311      1.540270  5.535670E-01      1.490906     45.532341  2.679520E-01      3.221451  1.990881E-01     0.0036  0.09  0.0014
N(1+)       DHF     2.574515E-01     34.320509      1.569617  4.131174E-01      2.106340      8.113001      1.837972     16.927334  2.286252E-01     0.0010  2.00  0.0002
N(2+)       DHF         1.579557  4.077801E-01      1.046149     17.327929 -3.612247E-02      2.500999      2.184524      8.144296  2.254752E-01     0.0007  2.00  0.0002
N(3+)       DHF     7.694649E-01     14.120279      1.593964  4.021454E-01      1.668942      7.030584 -2.553567E-01      3.530849  2.228133E-01     0.0006  2.00  0.0001
N(4+)       DHF     2.241146E-01     13.730161      1.571479  4.467440E-01  9.311569E-01      7.252725 -1.502168E-04     -1.074927  2.734194E-01     0.0002  2.00  0.0001
N(5+)       DHF     8.388014E-01  6.179662E-01  2.204836E-01      1.283227  8.582781E-01  2.158279E-01  1.156253E-02      2.385687  7.087432E-02     0.0000  2.00  0.0000
O(1+)       DHF         2.477796     11.685701      2.181048      5.571622      1.553048  3.143442E-01  5.523892E-01     24.480106  2.356034E-01     0.0001  0.11  0.0001
O(2+)       DHF     1.285865E-01     24.070835      1.563175  3.045736E-01      1.749006     11.710438      2.339028      5.699709  2.202501E-01     0.0003  2.00  0.0001
O(1-)       DHF         3.398935     17.216213      2.765954      6.246323      1.538618  3.383512E-01      1.017296     57.916476  2.756305E-01     0.0038  0.08  0.0012
F(1-)       DHF         3.840676     13.120596      3.194321      4.734713      1.490977  2.836596E-01      1.139747     43.373583  3.305628E-01     0.0039  0.09  0.0014
Na(1+)      DHF         3.254644      2.667389      3.936643      6.113532      1.400455  2.000796E-01      1.004369     14.021452  4.034632E-01     0.0006  2.00  0.0002
Mg(2+)      DHF         3.838946      4.752243      3.496023      2.167626      1.329247  1.848347E-01  8.511377E-01     10.124561  4.844638E-01     0.0003  2.00  0.0001
Al(1+)      DHF         5.682983      2.364801      1.796852      5.530152      1.251503  4.069275E-01      2.308513     43.010786  9.530952E-01     0.0076  0.10  0.0020
Al(3+)      DHF         3.780873      1.813480      3.684570      3.852127  6.981308E-01      7.800422      1.253987  1.800876E-01  5.823607E-01     0.0002  2.00  0.0000
Si(1+)      DHF         6.314500      2.417035      2.292981     26.530962      1.939349  6.644206E-01      1.316195     52.973119      1.135876     0.0078  2.00  0.0018
Si(2+)      DHF         1.582410  5.398251E-01      2.347606     28.567685      6.347918      2.223852  6.335173E-01      6.852339      1.084932     0.0039  0.12  0.0016
Si(3+)      DHF         1.236395  3.601792E-01      1.292658     23.966278      5.425641      1.887608      2.073357      4.051866  9.702768E-01     0.0018  0.13  0.0006
Si(4+)      DHF         4.073708      1.548628      3.492594      3.212574      1.191109  1.817061E-01  5.617288E-01      6.270117  6.808278E-01     0.0001  2.00  0.0000
Si(val)     DHF         6.276805      2.484899      2.906158     35.427961      2.064726  6.943285E-01      1.605738     86.112544      1.144600     0.0091  2.00  0.0021
P(1+)       DHF     8.792044E-01     54.462690      3.802253     24.650184      6.413277      1.908786      1.787301  5.309915E-01      1.118253     0.0020  0.62  0.0008
P(2+)       DHF         6.320674      1.934957      3.141566     21.392851      1.868657  5.602733E-01  5.350732E-01     43.466888      1.134226     0.0025  2.00  0.0006
P(3+)       DHF         6.228745      1.967185      1.768444     16.123745      1.954411  5.883135E-01  9.000396E-01     26.217688      1.148046     0.0031  2.00  0.0006
P(4+)       DHF         6.022006      1.770204      1.071903      4.039734      1.521995  4.507561E-01      1.303738     17.868054      1.079264     0.0011  0.15  0.0005
P(5+)       DHF         4.351218      1.342458      3.280799      2.733964      1.151685  1.861805E-01  4.480786E-01      5.191130  7.682051E-01     0.0000  2.00  0.0000
S(1+)       DHF         6.866657      1.473382      4.886806     20.691934      1.432305  2.712129E-01  9.104436E-01     48.114375  9.045894E-01     0.0041  0.70  0.0016
S(2+)       DHF         6.736900      1.499861      4.331492     18.806531      1.477009  3.317489E-01  4.558430E-01     43.469234  9.995153E-01     0.0029  0.71  0.0011
S(3+)       DHF         6.514787      1.550589      3.503712     16.578979  2.502022E-01     37.656456      1.644198  4.187632E-01      1.087543     0.0015  0.73  0.0006
S(4+)       DHF         1.922968  5.070595E-01      6.233339      1.623241      2.452402     13.858440  2.446759E-01     26.192018      1.146708     0.0009  2.00  0.0002
S(5+)       DHF         6.119101      1.668880  4.648571E-01      5.807696      2.041977  5.262666E-01      1.218802     14.290180      1.154753     0.0011  2.00  0.0003
S(6+)       DHF         1.138856  1.908785E-01      4.599800      1.177108      3.063993      2.361875  3.572019E-01      4.391326  8.401422E-01     0.0000  2.00  0.0000
Cl(1+)      DHF         7.340201      1.144114      1.032448     41.186113      5.891747     17.294661 -1.855677E-01 -2.484230E-01      1.922294     0.0056  0.76  0.0023
Cl(2+)      DHF     5.306803E-01     38.528335      7.277116      1.158791      5.386567     16.041144 -5.192287E-01 -1.375160E-01      2.325976     0.0044  0.77  0.0019
Cl(3+)      DHF         4.619550     14.586253      7.143828      1.190214  2.694359E-01     36.193966      4.759843  2.965901E-02     -2.791873     0.0029  0.78  0.0013
Cl(4+)      DHF         3.673132     13.004648  1.587814E-01     31.777090      6.867119      1.247681      1.436566  2.246073E-01  8.648415E-01     0.0015  0.80  0.0007
Cl(5+)      DHF         1.745757  3.996719E-01  1.356645E-01     23.575742      6.400842      1.338136      2.605253     11.221575      1.112639     0.0004  0.83  0.0002
Cl(6+)      DHF         5.901325      1.474915  8.278076E-01     12.524889      2.352166  5.154695E-01  7.346466E-01      7.671546      1.183901     0.0007  2.00  0.0001
Cl(7+)      DHF         4.813211      1.041487      2.853005      2.064247      1.150401  1.941516E-01  2.862372E-01      3.775701  8.971440E-01     0.0000  2.00  0.0000
Cl(1-)      DHF         6.503277     19.432162      7.346296      1.152130      2.378579     59.882132 -2.601289E-01 -2.096057E-01      2.025908     0.0065  0.08  0.0029
K(1+)       DHF         7.965435     12.646145      7.494238  7.675729E-01      6.359467 -2.085578E-03      1.182454     31.963202     -4.999490     0.0124  2.00  0.0047
Ca(2+)      DHF         3.482293     16.851518      7.530049  6.871251E-01    300.000000      6.419669   -294.447071      6.373970      1.433526     0.0066  2.00  0.0013
Sc(1+)      DHF         7.372051  5.740146E-01      9.207196      9.072166  7.561073E-01    104.874210      1.329867     43.619717      1.335346     0.0139  1.06  0.0060
Sc(2+)      DHF         8.672708      8.237180      7.704300  6.207827E-01      2.025814     21.687439 -8.574276E-01      2.204999      1.450876     0.0041  2.00  0.0016
Sc(3+)      DHF         8.117665      6.490488      7.594201  6.079405E-01      3.217658     13.468428     -2.360265      3.576522      1.429980     0.0029  2.00  0.0006
Ti(2+)      DHF         9.913314  6.212505E-01     -3.014894      1.008878      9.322892      7.437940      2.253654     21.155652      1.520155     0.0051  0.13  0.0020
Ti(3+)      DHF         7.801682  5.564738E-01     -1.230889      1.927506      8.681096      6.699415      2.291153     15.180736      1.455385     0.0021  2.00  0.0008
Ti(4+)      DHF         7.687157  5.436174E-01     -1.905808      2.545362      7.894514      5.749983      2.893323     11.158260      1.430360     0.0013  2.00  0.0003
V(1+)       DHF         7.358698  4.450089E-01     10.019673      6.947429      2.953221     21.661272  4.222485E-01     65.920574      1.246752     0.0133  2.00  0.0040
V(2+)       DHF         9.966561      6.685796    300.000000  2.282544E-01   -295.333059  2.216618E-01      2.558405     19.736104      3.802283     0.0060  0.13  0.0024
V(3+)       DHF         9.677669  5.600139E-01      9.395035      6.173899      2.388365     14.969424     -3.001128  9.964589E-01      1.537907     0.0022  0.15  0.0010
V(4+)       DHF         7.968993  5.052244E-01      8.781186      5.638452     -1.579545      1.589511      2.361840     11.791162      1.466724     0.0011  2.00  0.0004
V(5+)       DHF         7.808842  4.908910E-01      8.058522      5.043338      2.626606      9.424248     -1.929594      1.957510      1.435347     0.0007  2.00  0.0002
Cr(1+)      DHF         3.486290     17.842191     10.374967      6.058016      7.356944  3.919229E-01  6.023318E-01     52.516923      1.179715     0.0119  2.00  0.0031
Cr(2+)      DHF        10.593550      5.978676      7.683296  3.592193E-01      2.938851     18.005103  6.444147E-03 -7.613684E-01  7.706671E-01     0.0074  0.14  0.0027
Cr(3+)      DHF         2.552214     14.384289     10.106942      5.668781   -161.683519  1.420470E-01    161.609883  1.579156E-01      8.412003     0.0033  2.00  0.0013
Cr(4+)      DHF         9.519359      5.242361     12.022048  5.420515E-01      2.421488     11.589958     -5.543931  8.198257E-01      1.579933     0.0012  2.00  0.0005
Cr(5+)      DHF         8.250422  4.657118E-01      8.930198      4.845268      2.331281      9.625134     -2.000586      1.291605      1.488237     0.0007  2.00  0.0002
Cr(6+)      DHF         7.971744  4.478766E-01      8.271456      4.433116      2.408208      8.078773     -2.098160      1.562503      1.446579     0.0004  2.00  0.0001
Mn(1+)      DHF         7.365018  3.419002E-01     10.996506      5.288028      3.161582     15.512307      1.399283     59.917995      1.075537     0.0101  2.00  0.0026
Mn(2+)      DHF         7.364499  3.434364E-01     10.813106      5.284363      3.514327     14.406344  2.232199E-01     41.456005      1.085400     0.0101  2.00  0.0024
Mn(3+)      DHF        10.723000      5.106151      8.081717  2.929014E-01      2.942011     13.291008  2.523367E-02 -5.628943E-01  2.245867E-01     0.0036  0.16  0.0015
Mn(4+)      DHF        10.271892      4.871644   -201.333619  8.374694E-02      2.508712     11.252072    186.686679  1.020118E-01     22.865121     0.0023  2.00  0.0008
Mn(5+)      DHF         2.414373      9.393435    299.372667  5.929487E-01   -293.076919  6.001417E-01      9.663255      4.516180      1.625986     0.0007  0.18  0.0003
Mn(6+)      DHF         2.250661      8.095118      8.805994  4.389384E-01      9.098563      4.223526     -2.680718      1.033190      1.525234     0.0004  2.00  0.0002
Mn(7+)      DHF         8.477815      3.918683      8.210744  4.137443E-01     -2.377743      1.266960      2.222147      7.013004      1.466926     0.0002  2.00  0.0001
Fe(1+)      DHF        11.372423      4.689013      7.375063  3.045104E-01      1.487295     54.289150      3.757415     13.282973      1.004750     0.0072  2.00  0.0021
Fe(2+)      DHF        11.052255      4.658290      7.376797  3.051650E-01  4.431893E-01     31.417303      4.120597     12.096396      1.007508     0.0075  2.00  0.0016
Fe(3+)      DHF         7.506584  2.912660E-01      3.292190     12.337979     11.367803      4.632584  8.950930E-06     -2.025523  8.290674E-01     0.0045  0.17  0.0018
Fe(4+)      DHF         8.372929  2.446944E-01     10.884160      4.421308      2.894345     10.475914  2.446590E-02 -5.715768E-01 -1.777423E-01     0.0019  0.18  0.0008
Fe(5+)      DHF        10.436759      4.231550      2.455635      9.161141    186.220711  6.144413E-02   -273.123397  3.501218E-02     95.009620     0.0015  2.00  0.0004
Fe(6+)      DHF         2.413835      7.816932   -293.854507  5.523906E-01    300.000000  5.454649E-01      9.804127      3.926030      1.636126     0.0004  0.20  0.0002
Co(1+)      DHF         1.226655     32.045598      7.378825  2.760311E-01     11.249492      4.164105      5.178313     10.941777  9.654608E-01     0.0047  2.00  0.0011
Co(2+)      DHF         4.725095     10.274176     11.242399      4.127379      7.391324  2.725331E-01  7.111416E-01     25.751197  9.300968E-01     0.0052  2.00  0.0010
Co(3+)      DHF     2.257665E-01     25.859105      7.407334  2.682978E-01      4.077510     10.018460     11.401181      4.101555  8.885385E-01     0.0055  2.00  0.0011
Co(4+)      DHF         7.585451  2.524280E-01     11.534878      4.041686  6.168248E-06     -2.074995      3.228273      9.813663  6.489899E-01     0.0025  0.18  0.0011
Co(5+)      DHF         8.451693  2.115994E-01     11.062277      3.871490      2.813722      8.592578  1.012683E-02 -6.941708E-01 -3.388727E-01     0.0011  0.19  0.0005
Ni(1+)      DHF         5.728690      9.653776     11.572681      3.729967      1.405443     28.540424      7.379314  2.491470E-01  9.121371E-01     0.0027  2.00  0.0009
Ni(2+)      DHF     9.759961E-01     22.220889      5.330917      8.892326      7.403840  2.448818E-01     11.429958      3.680412  8.590327E-01     0.0033  2.00  0.0006
Ni(3+)      DHF     4.797503E-01     20.043541      7.425179  2.408287E-01     11.543203      3.655355      4.740465      8.578620  8.115719E-01     0.0036  2.00  0.0006
Ni(4+)      DHF     1.216103E-01     22.253762      7.455104  2.358536E-01      3.973975      8.387192     11.697791      3.626257  7.517598E-01     0.0039  2.00  0.0007
Cu(1+)      DHF        11.956369      3.369573      7.361005  2.274076E-01      1.555516     25.854548      6.237495      8.668829  8.874721E-01     0.0023  0.12  0.0009
Cu(2+)      DHF         5.917738      7.861392     11.664987      3.307179      7.407133  2.218002E-01      1.205852     19.831464  8.037422E-01     0.0019  2.00  0.0004
Cu(3+)      DHF         5.383334      7.452796      7.438959  2.174457E-01     11.667238      3.275086  7.680053E-01     16.962651  7.424464E-01     0.0022  2.00  0.0003
Cu(4+)      DHF         4.692782      7.265542     11.821561      3.252344  3.335812E-01     16.356657      7.473229  2.129056E-01  6.789947E-01     0.0023  2.00  0.0004
Zn(2+)      DHF         6.458009      7.088006     11.981977      2.997122      7.390081  2.030816E-01      1.391079     18.100779  7.780651E-01     0.0008  0.13  0.0004
Ga(1+)      DHF        14.200334      2.894627      7.049897  2.064284E-01      5.005926      8.220247      2.560346     37.523842      1.176141     0.0078  0.10  0.0029
Ga(2+)      DHF        13.513885      2.818310      5.653380      7.268605      7.208611  1.951582E-01      1.663928     29.091580  9.567598E-01     0.0037  0.12  0.0015
Ga(3+)      DHF         6.566099      5.989222     12.113764      2.688583      1.228242     13.828418      7.420555  1.820140E-01  6.710052E-01     0.0005  2.00  0.0002
Ge(1+)      DHF        15.373420      2.717465      6.695204  2.127210E-01      3.283473     38.584202      4.043371      8.518451      1.593398     0.0118  0.10  0.0042
Ge(2+)      DHF        14.496361      2.601730      4.699490      6.926918      7.021073  1.868155E-01      2.657256     27.429232      1.121456     0.0047  0.12  0.0019
Ge(3+)      DHF        13.795995      2.541194      5.465562      6.187255      7.196054  1.767333E-01      1.646000     22.667531  8.942801E-01     0.0022  0.13  0.0010
Ge(4+)      DHF         7.455173  1.635344E-01     12.300921      2.426666      1.081907     11.108247      6.599580      5.163141  5.622622E-01     0.0003  2.00  0.0001
As(2+)      DHF         6.610048  1.954358E-01      3.600305      7.316904     15.703352      2.449554      3.481771     27.942950      1.598125     0.0068  0.12  0.0027
As(3+)      DHF         4.294151      6.054543     14.899222      2.360492      6.952301  1.719599E-01      2.727942     21.419141      1.123565     0.0030  0.13  0.0013
