Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Li(1+)      DHF     7.069317E-01      3.377892  3.690329E-01      6.672684  2.471634E-01  5.179472E-01  5.004045E-02     12.828165  6.150373E-01      1.531579  1.179161E-02     0.0000  2.00  0.0000
Be(2+)      DHF     3.885773E-01  3.795470E-01  6.108402E-01      2.311170  1.777015E-02      7.729039  2.080017E-01      4.298592  7.531218E-01      1.095819  2.168860E-02     0.0000  2.00  0.0000
B(1+)       DHF     7.245111E-01     39.549108      1.036864  4.824447E-01      1.508389     19.009146  8.893233E-01      1.531833 -2.429277E-01      3.665663  8.358749E-02     0.0003  0.09  0.0001
B(2+)       DHF     8.991787E-01      1.396963  8.241355E-01     16.149411  9.440749E-01  4.529439E-01  3.443239E-01     30.645287 -8.594986E-02      5.139050  7.418008E-02     0.0001  2.00  0.0000
B(3+)       DHF     8.231728E-01  8.255643E-01  1.196177E-01      3.071856  5.140994E-01  2.894654E-01  5.041147E-01      1.702617  6.765246E-03      5.321940  3.223015E-02     0.0000  2.00  0.0000
C(1+)       DHF         2.097673     12.684956     -8.004763      1.107055      9.048553      1.058204      1.103991     28.605916  8.933440E-01  1.552501E-01 -1.395215E-01     0.0008  0.11  0.0003
C(2+)       DHF         1.584091     11.329635     14.290265      1.587667  6.850949E-01     22.538673      1.222825  3.776671E-01    -13.889971      1.624804  1.075291E-01     0.0002  0.12  0.0001
C(3+)       DHF        13.618843      1.509699  8.555916E-01     10.154191    -13.082267      1.537209  3.113824E-01     18.924923      1.188342  3.802723E-01  1.080702E-01     0.0000  0.13  0.0000
C(4+)       DHF     1.684532E-01      1.913066  8.881048E-03      3.445412  7.009171E-01  9.768117E-01  9.416111E-01  3.854227E-01 -4.903346E-01 -1.827325E-02  6.704721E-01     0.0000  2.00  0.0000
C(val)      DHF         2.040084     26.451389  7.977605E-01  9.798486E-01  6.116208E-01     63.166030      1.470735     11.407532  9.884742E-01  3.364955E-01  9.097275E-02     0.0004  0.07  0.0001
N(1+)       DHF     2.156115E-01     35.860285      1.567262  4.152000E-01      2.165611      8.194205      1.819140     17.353999 -5.892016E-10     -3.755151  2.324055E-01     0.0003  1.11  0.0001
N(2+)       DHF         1.577863  4.071291E-01    256.472536      5.847665  1.546819E-01     26.263799      1.572507     13.577788   -255.002605      5.840056  2.250352E-01     0.0008  2.00  0.0001
N(3+)       DHF     6.394739E-01     14.738033      1.103537  1.340379E-01      1.647543      7.597944     -7.479008  9.928073E-01      8.250513  9.314889E-01 -1.621712E-01     0.0001  0.15  0.0001
N(4+)       DHF     3.010102E-01     12.774561      5.350475  9.517585E-01  8.722536E-01      6.913023      1.073180  2.278377E-01     -4.655202      1.007218  5.825068E-02     0.0000  0.15  0.0000
